Unnamed: 0.1,Unnamed: 0,price,title,year,mileage,transmission,body_type,drive_type,color,engine_capacity,engine_power,fuel_type,travel_distance,price_scaled,year_scaled,mileage_scaled,engine_capacity_scaled,engine_power_scaled,travel_distance_scaled
148713,151546,1600000,Skoda Kodiaq I,2018,249681,механика,внедорожник 5 дв.,передний,белый,1.4,125.0,Бензин,0,-0.2989993538042313,1.026442492873464,-1.4398811129736144,-0.9691807467974658,-0.2610372941829982,-0.0096796395548317
99177,100309,900000,Citroen C-Crosser,2011,185000,вариатор,внедорожник 5 дв.,передний,серебристый,2.0,147.0,Бензин,0,-0.0125356906640674,0.0956818553397299,0.7763999507278246,1.694521359957482,1.2980484846221707,-0.0096796395548317
86774,87608,170000,Lada (ВАЗ) Priora I,2009,274360,механика,хэтчбек 5 дв.,передний,синий,1.6,98.0,Бензин,0,-0.3918348001922473,-0.0206632243519868,1.0892925788763224,0.6290405172555031,0.1770529246548178,-0.0096796395548317
78970,79706,560000,"Toyota Corolla X (E140, E150)",2008,240000,механика,седан,передний,серебристый,1.4,97.0,Бензин,0,-0.4714084820269582,-0.2533533837354204,1.0892925788763224,-0.3032552201087288,-0.32546232636503,-0.0096796395548317
189801,195658,9422000,Ram 1500 Crew Cab V Рестайлинг,2024,13,автомат,пикап двойная кабина,полный,красный,3.0,420.0,Бензин,0,,,,,,
70535,71119,1000000,Hyundai Tucson I,2007,180000,автомат,внедорожник 5 дв.,полный,серебристый,2.0,140.0,Бензин,0,-0.7742284246000278,-0.3696984634271371,0.3919890075739559,-0.8359956414597183,-1.0599076932401923,-0.0096796395548317
35730,35949,1050000,Toyota Highlander I (U20),2002,226400,автомат,внедорожник 5 дв.,передний,золотистый,3.0,223.0,Бензин,0,-0.5001428209782661,-0.9514238618857208,0.5529052163360405,-0.3032552201087288,-0.2610372941829982,-0.0096796395548317
65735,66226,410000,Ford Focus II,2006,210000,механика,седан,передний,чёрный,1.8,125.0,Бензин,0,-0.4192433605544235,-0.4860435431188539,0.0165178537957586,-0.5696254307842236,-0.5573924422203443,-0.0096796395548317
135274,137596,2120000,Kia Sportage IV,2016,95000,автомат,внедорожник 5 дв.,полный,серый,2.4,184.0,Бензин,0,0.9874346890011342,0.7937523334900305,-0.0448895594257279,0.7622256225932501,0.0610878667271606,-0.0096796395548317
70531,71114,1200000,Toyota RAV4 III (XA30),2007,230000,автомат,внедорожник 5 дв.,полный,чёрный,2.0,152.0,Бензин,0,-0.4143805514579084,-0.3696984634271371,0.1917377255589174,-0.0368850094332338,-0.1579572426917473,-0.0096796395548317
150760,153675,7700000,Land Rover Range Rover IV Рестайлинг,2018,135000,автомат,внедорожник 5 дв.,полный,чёрный,4.4,339.0,Дизель,0,0.0173701432059463,1.026442492873464,-0.7925330847024997,0.3626703065800081,-0.2868073070558109,-0.0096796395548317
120375,122183,2100000,Mazda CX-5 I,2014,162550,автомат,внедорожник 5 дв.,полный,серый,2.5,192.0,Бензин,0,0.2801170022352974,0.4447170944148802,0.0880361688011295,1.028595833268745,1.7232536970235806,-0.0096796395548317
170185,174287,4500000,Volvo V90 Cross Country I Рестайлинг,2021,57485,автомат,универсал 5 дв.,полный,синий,2.0,249.0,Бензин,0,-0.2596548074778816,1.3754777319486142,-1.3968628464978838,-0.9691807467974658,-0.7377825323300333,-0.0096796395548317
72518,73113,950000,Opel Vivaro A Рестайлинг,2007,390000,механика,фургон,передний,красный,2.0,115.0,Дизель,0,-0.3829933291076744,-0.3696984634271371,0.9998946851196088,-0.3032552201087288,-0.2610372941829982,-0.0096796395548317
160679,164172,1180000,JAC JS4,2020,18500,вариатор,внедорожник 5 дв.,передний,белый,1.5,136.0,Бензин,0,3.6796626342536,1.1427875725651808,-1.0228667579666724,2.360446886646219,3.707544688230159,-0.0096796395548317
21825,21942,565000,Honda HR-V I,1999,247000,вариатор,внедорожник 5 дв.,полный,жёлтый,1.6,105.0,Бензин,0,-0.7123381270080171,-1.3004591009608713,0.6423031100927541,-0.3032552201087288,-0.7120125194572207,-0.0096796395548317
142863,145419,840000,Lifan Murman (820),2017,103000,механика,седан,передний,белый,1.8,128.0,Бензин,0,-0.1237171895525724,0.9100974131817472,-0.8117357522814418,-0.3032552201087288,-0.3770023521106554,-0.0096796395548317
57939,58355,850000,УАЗ Hunter 315195,2005,110000,механика,внедорожник 5 дв.,полный,чёрный,2.9,84.0,Бензин,0,-0.6526581971871497,-0.6023886228105706,1.178690472633036,-1.102365852135213,-0.9954826610581604,-0.0096796395548317
149626,152499,1149000,Lada (ВАЗ) Vesta Cross I,2018,83400,механика,седан,передний,серый,1.8,122.0,Бензин,0,-0.4249903167593959,1.026442492873464,0.6986237831594837,-1.102365852135213,-0.9310576288761286,-0.0096796395548317
134137,136416,1750000,Hyundai Santa Fe Grand III,2016,275000,автомат,внедорожник 5 дв.,полный,чёрный,2.2,197.0,Дизель,0,0.0988668450015518,0.6774072537983137,0.0343974325471014,-0.3032552201087288,-0.2868073070558109,-0.0096796395548317
54324,54711,388888,Renault Scenic II,2005,197000,автомат,компактвэн,передний,серый,2.0,136.0,Бензин,0,-0.7764387923711711,-0.6023886228105706,-0.2516758274743822,-0.9691807467974658,-1.2274127769134748,-0.0096796395548317
119216,120980,2120000,Mercedes-Benz C-Класс 180 IV (W205),2014,89305,автомат,седан,задний,белый,1.6,156.0,Бензин,0,-0.1620007593487733,0.4447170944148802,-0.2606156168500536,-0.8359956414597183,-0.4671973971654999,-0.0096796395548317
68809,69367,920000,Hyundai Santa Fe II,2007,205000,автомат,внедорожник 5 дв.,передний,чёрный,2.2,150.0,Дизель,0,-0.3166822959733772,-0.3696984634271371,0.4787586032542222,1.694521359957482,1.594403632659517,-0.0096796395548317
53916,54288,790000,Toyota Camry V (XV30) Рестайлинг,2005,325000,механика,седан,передний,чёрный,2.4,152.0,Бензин,0,-0.7631765857443116,-0.6023886228105706,0.1059157475524723,-0.8359956414597183,-1.0599076932401923,-0.0096796395548317
43824,44102,2450000,Toyota Land Cruiser 100 Series Рестайлинг 1,2003,390000,автомат,внедорожник 5 дв.,полный,зелёный,4.7,235.0,Бензин,0,-0.3387859736848096,-0.8350787821940041,1.5809809945382474,1.028595833268745,0.7568782142931039,-0.0096796395548317
130580,132698,540000,Chevrolet Niva I Рестайлинг,2015,167108,механика,внедорожник 5 дв.,полный,серый,1.7,80.0,Бензин,0,3.4099977661741248,0.6774072537983137,-1.4902836454736497,1.028595833268745,2.071148870806552,-0.0096796395548317
151301,154233,4875000,Land Rover Range Rover Sport II Рестайлинг,2018,179000,автомат,внедорожник 5 дв.,полный,белый,3.0,249.0,Дизель,0,1.296444103406959,1.026442492873464,-0.7223557381034795,1.028595833268745,1.1047733880760755,-0.0096796395548317
157389,160728,2730000,Kia Carnival III,2019,145000,автомат,минивэн,передний,чёрный,2.2,202.0,Дизель,0,-0.3014749657079117,1.1427875725651808,-1.1788213836252592,-0.8359956414597183,-0.8279775773848779,-0.0096796395548317
33208,33397,380000,Nissan Almera Tino I,2001,210000,вариатор,компактвэн,передний,синий,1.8,114.0,Бензин,0,-0.5156153953762688,-1.0677689415774376,0.949751406511468,-0.3032552201087288,-0.1579572426917473,-0.0096796395548317
97645,98741,1099000,Toyota bB II Рестайлинг,2011,152817,автомат,компактвэн,передний,чёрный,1.5,109.0,Бензин,0,-0.1840602297047828,0.0956818553397299,-0.0639402505852835,0.2294852012422606,0.0353178538543479,-0.0096796395548317
149890,152778,6500000,Lexus GX 460 II Рестайлинг,2018,62000,автомат,внедорожник 5 дв.,полный,чёрный,4.6,296.0,Бензин,0,-0.4669873044111175,1.026442492873464,-1.1796259646690697,-2.034661589499445,-1.5495379378236338,-0.0096796395548317
182950,188135,925000,Lada (ВАЗ) Granta I Рестайлинг,2023,8000,механика,лифтбек,передний,серый,1.6,90.0,Бензин,0,1.429066169675553,1.6081678913320478,-1.5920899668837951,-0.3032552201087288,0.615143143492634,-0.0096796395548317
72759,73354,780000,Honda Accord VII Рестайлинг,2007,295000,автомат,седан,передний,синий,2.0,155.0,Бензин,0,-0.6659204038140091,-0.3696984634271371,-0.0728800399609549,0.2294852012422606,-0.5573924422203443,-0.0096796395548317
24011,24149,300000,Volkswagen Golf IV,2000,347000,механика,универсал 5 дв.,передний,синий,1.6,105.0,Бензин,0,-0.581926428510566,-1.1841140212691543,0.1953136413091859,0.3626703065800081,0.2285929504004433,-0.0096796395548317
