price,title,year,mileage,engine,transmission,body_type,drive_type,color
780 000 ₽,Geely Emgrand X7 I Рестайлинг,2016,41319км,2.0 л / 140 л.с. / Бензин,механика,внедорожник 5 дв.,передний,белый
2 230 000 ₽,Chery Tiggo 7 Pro Max I,2023,25000км,1.5 л / 147 л.с. / Бензин,вариатор,внедорожник 5 дв.,передний,серый
3 100 000 ₽,Lexus LX 470 II Рестайлинг,2006,344000км,4.7 л / 234 л.с. / Бензин,автомат,внедорожник 5 дв.,полный,чёрный
,Ford Explorer III,2004,300232км,4.0 л / 213 л.с. / Бензин,автомат,внедорожник 5 дв.,полный,синий
180 000 ₽,Nissan Liberty,2001,200000км,2.0 л / 147 л.с. / Бензин,вариатор,компактвэн,передний,серый
185 000 ₽,УАЗ 3160 31601,2000,150000км,2.9 л / 98 л.с. / Бензин,механика,внедорожник 5 дв.,полный,зелёный
320 000 ₽,Mitsubishi Lancer VII,2000,346700км,1.5 л / 110 л.с. / Бензин,автомат,седан,полный,белый
970 000 ₽,Skoda Rapid I,2016,180000км,1.6 л / 110 л.с. / Бензин,автомат,лифтбек,передний,белый
4 547 571 ₽,Lexus RX 350 IV,2017,87000км,3.5 л / 300 л.с. / Бензин,автомат,внедорожник 5 дв.,полный,белый
1 230 000 ₽,FAW Besturn X40 I,2020,77000км,1.6 л / 108 л.с. / Бензин,механика,внедорожник 5 дв.,передний,коричневый
1 223 000 ₽,Haval H6 Red Label Sport I,2016,119000км,1.5 л / 143 л.с. / Бензин,механика,внедорожник 5 дв.,полный,чёрный
2 100 000 ₽,Toyota Land Cruiser Prado 120 Series Рестайлинг,2008,200000км,2.7 л / 163 л.с. / Бензин,автомат,внедорожник 5 дв.,полный,белый
1 300 000 ₽,Mercedes-Benz M-Класс 430 I (W163),1999,327000км,4.3 л / 272 л.с. / Бензин,автомат,внедорожник 5 дв.,полный,чёрный
1 550 000 ₽,Mitsubishi Pajero IV,2008,182000км,3.2 л / 165 л.с. / Дизель,автомат,внедорожник 5 дв.,полный,чёрный
55 000 ₽,Lada (ВАЗ) 21099,2002,340000км,1.5 л / 78 л.с. / Бензин,механика,седан,передний,серебристый
485 000 ₽,Mazda 6 I (GG) Рестайлинг,2006,223878км,2.0 л / 147 л.с. / Бензин,механика,лифтбек,передний,чёрный
17 000 000 ₽,Mercedes-Benz CL-Класс 500 I (C140),1997,110000км,5.0 л / 320 л.с. / Бензин,автомат,купе,задний,чёрный
1 250 000 ₽,Toyota Camry VI (XV40),2006,156542км,2.4 л / 167 л.с. / Бензин,автомат,седан,передний,серебристый
580 000 ₽,Suzuki Grand Vitara I Рестайлинг,2004,220000км,2.0 л / 128 л.с. / Бензин,механика,внедорожник 5 дв.,полный,бежевый
3 800 000 ₽,Mercedes-Benz CLS 250 BlueTEC II (C218) Рестайлинг,2017,60000км,2.1 л / 204 л.с. / Дизель,автомат,седан,полный,белый
2 220 000 ₽,Nissan Rogue II Рестайлинг,2018,124088км,2.5 л / 170 л.с. / Бензин,вариатор,внедорожник 5 дв.,передний,чёрный
1 000 000 ₽,BMW 3 серии 320i V (E90/E91/E92/E93) Рестайлинг,2008,128000км,2.0 л / 156 л.с. / Бензин,автомат,седан,задний,чёрный
140 000 ₽,Nissan Cefiro II (A32),1996,250000км,2.0 л / 155 л.с. / Бензин,автомат,седан,передний,чёрный
430 000 ₽,Opel Corsa D Рестайлинг I,2010,295332км,1.4 л / 100 л.с. / Бензин,автомат,хэтчбек 5 дв.,передний,красный
3 150 000 ₽,Mercedes-Benz M-Класс 400 III (W166),2014,127000км,3.0 л / 333 л.с. / Бензин,автомат,внедорожник 5 дв.,полный,синий
850 000 ₽,Toyota Harrier I (XU10),1998,450000км,3.0 л / 220 л.с. / Бензин,автомат,внедорожник 5 дв.,полный,белый
2 199 999 ₽,Mazda CX-5 I Рестайлинг,2015,13850км,2.0 л / 150 л.с. / Бензин,автомат,внедорожник 5 дв.,передний,чёрный
750 000 ₽,Lada (ВАЗ) XRAY I,2016,100000км,1.8 л / 122 л.с. / Бензин,робот,хэтчбек 5 дв.,передний,серебристый
